20130615041736	49.28
20130721145936	6.72
20130721150536	6.36
20130721151136	7.0
20130721151736	7.72
20130721152336	7.96
20130721152936	9.6
20130721153535	10.48
20130721154136	10.48
20130721154736	10.52
20130723145336	48.36
20130723145935	39.48
20130723150536	31.44
20130723151136	23.64
20130723151736	17.2
20130723152336	12.04
20130723152935	8.08
20130723153536	4.76
20130723154136	2.64
20130723154736	2.0
20130723155336	2.04
20130723155936	2.12
20130723160535	2.08
20130723161136	2.04
20130723161736	1.92
20130723162336	1.84
20130723162936	1.96
20130723163536	2.0
20130723164135	2.12
20130723164736	2.76
20130723165335	3.16
20130723165936	3.92
20130723170536	3.92
20130723171136	4.4
20130723171736	5.0
20130723172336	5.04
20130723172935	5.8
20130723173536	6.12
20130723174136	6.56
20130723174735	6.64
20130723175336	6.68
20130723175935	6.96
20130723180536	7.4
20130723181136	8.08
20130723181735	8.2
20130723182336	8.88
20130723182936	9.72
20130723183536	10.32
20130723184135	11.56
20130723184736	15.56
20130723185335	15.96
20130723185936	16.68
20130723190536	18.6
20130723191136	20.4
20130723191736	20.28
20130723192336	21.2
20130723192936	21.28
20130723193535	22.96
20130723194136	23.76
20130723194736	27.0
20130723195336	27.68
20130723195936	33.68
20130723200536	40.4
20130723201136	47.56
20130731000536	11.44
20130731001136	1.48
20130731001736	1.52
20130731002336	1.52
20130731002936	1.48
20130731003536	1.44
20130731004136	1.56
20130731004735	1.52
20130731005336	10.16
20130731005936	21.56
20130731010536	30.28
20130731011136	38.56
20130731011735	49.0
20130803021136	49.96
20130809113536	43.32
20130809114136	35.96
20130809114736	28.4
20130809115336	25.52
20130809115936	24.68
20130809120535	24.72
20130809121136	23.88
20130809121736	22.28
20130809122336	20.96
20130809122935	18.88
20130809123536	17.32
20130809124135	15.48
20130809124736	14.2
20130809125335	11.64
20130809125936	10.68
20130809130536	10.48
20130809131136	10.72
20130809131735	10.48
20130809132336	10.32
20130809132935	10.08
20130809133536	9.84
20130809134136	10.56
