INFO:root:train trajgru begin...
INFO:root:train trajgru begin...
INFO:root:train trajgru begin...
INFO:root:train trajgru begin...
INFO:root:total_num:6464821
INFO:root:train trajgru begin...
INFO:root:total_num:6464821
INFO:root:train trajgru begin...
INFO:root:train trajgru begin...
INFO:root:train trajgru begin...
INFO:root:train trajgru begin...
INFO:root:train trajgru begin...
INFO:root:total_num:6464821
INFO:root:train trajgru begin...
INFO:root:train trajgru begin...
INFO:root:train trajgru begin...
INFO:root:total_num:6464821
INFO:root:train trajgru begin...
INFO:root:total_num:6464821
INFO:root:train trajgru begin...
INFO:root:total_num:6464821
INFO:root:train trajgru begin...
INFO:root:total_num:6464821
INFO:root:train trajgru begin...
INFO:root:total_num:6464821
INFO:root:train trajgru begin...
INFO:root:total_num:6464821
INFO:root:train trajgru begin...
INFO:root:total_num:6464821
INFO:root:train trajgru begin...
INFO:root:total_num:6464821
INFO:root:train trajgru begin...
INFO:root:total_num:6464821
INFO:root:train trajgru begin...
INFO:root:total_num:6464821
INFO:root:train trajgru begin...
INFO:root:total_num:6464821
INFO:root:train trajgru begin...
INFO:root:total_num:6464821
INFO:root:torch.Size([15, 4, 1, 600, 600])
INFO:root:<class 'torch.Tensor'>
INFO:root:torch.Size([5, 4, 1, 600, 600])
INFO:root:torch.Size([10, 4, 1, 600, 600])
INFO:root:(4, 15)
INFO:root:load data:0.49724864959716797	disk to mem:0.18319082260131836	normalize:0.13040685653686523	numpy to tensor:0.11979341506958008
INFO:root:load data:0.46866440773010254	disk to mem:0.16883039474487305	normalize:0.12369322776794434	numpy to tensor:0.1183614730834961
INFO:root:load data:0.4645819664001465	disk to mem:0.16198158264160156	normalize:0.12265968322753906	numpy to tensor:0.11722230911254883
INFO:root:load data:0.4551413059234619	disk to mem:0.16186118125915527	normalize:0.12424492835998535	numpy to tensor:0.11532998085021973
INFO:root:load data:0.45682454109191895	disk to mem:0.1630399227142334	normalize:0.12209868431091309	numpy to tensor:0.11840343475341797
INFO:root:load data:0.4582850933074951	disk to mem:0.16118144989013672	normalize:0.12290120124816895	numpy to tensor:0.11937689781188965
INFO:root:load data:0.4563155174255371	disk to mem:0.1608600616455078	normalize:0.1244211196899414	numpy to tensor:0.11727523803710938
INFO:root:load data:0.4540860652923584	disk to mem:0.16299080848693848	normalize:0.12404870986938477	numpy to tensor:0.11399364471435547
INFO:root:load data:0.45381665229797363	disk to mem:0.15919899940490723	normalize:0.12394356727600098	numpy to tensor:0.11723470687866211
INFO:root:load data:0.45997142791748047	disk to mem:0.1612997055053711	normalize:0.1226201057434082	numpy to tensor:0.12246108055114746
INFO:root:load data:0.44864702224731445	disk to mem:0.15908408164978027	normalize:0.12341499328613281	numpy to tensor:0.11338639259338379
INFO:root:load data:0.43817806243896484	disk to mem:0.14972400665283203	normalize:0.11936545372009277	numpy to tensor:0.11613178253173828
INFO:root:load data:0.44147372245788574	disk to mem:0.1502974033355713	normalize:0.11957788467407227	numpy to tensor:0.1184849739074707
INFO:root:load data:0.44731760025024414	disk to mem:0.1511685848236084	normalize:0.11962604522705078	numpy to tensor:0.12121081352233887
INFO:root:load data:0.4736318588256836	disk to mem:0.16853094100952148	normalize:0.1337602138519287	numpy to tensor:0.11687493324279785
INFO:root:load data:0.47367286682128906	disk to mem:0.16920948028564453	normalize:0.1309661865234375	numpy to tensor:0.11908745765686035
INFO:root:load data:0.44596385955810547	disk to mem:0.15658092498779297	normalize:0.12203454971313477	numpy to tensor:0.11449432373046875
INFO:root:load data:0.4593322277069092	disk to mem:0.16170239448547363	normalize:0.12772178649902344	numpy to tensor:0.11620450019836426
INFO:root:load data:0.4643888473510742	disk to mem:0.16379761695861816	normalize:0.12750554084777832	numpy to tensor:0.11824584007263184
INFO:root:load data:0.4637937545776367	disk to mem:0.1636359691619873	normalize:0.12954115867614746	numpy to tensor:0.11732053756713867
INFO:root:load data:0.46825575828552246	disk to mem:0.16451025009155273	normalize:0.1310405731201172	numpy to tensor:0.11838793754577637
INFO:root:load data:0.4655640125274658	disk to mem:0.16757464408874512	normalize:0.12929916381835938	numpy to tensor:0.1138455867767334
INFO:root:load data:0.44861721992492676	disk to mem:0.15837907791137695	normalize:0.12175798416137695	numpy to tensor:0.11444401741027832
INFO:root:load data:0.43729686737060547	disk to mem:0.14966464042663574	normalize:0.12029623985290527	numpy to tensor:0.11404252052307129
INFO:root:load data:0.4622941017150879	disk to mem:0.1650552749633789	normalize:0.12969279289245605	numpy to tensor:0.11406874656677246
INFO:root:load data:0.43587827682495117	disk to mem:0.1499652862548828	normalize:0.1174159049987793	numpy to tensor:0.11486506462097168
INFO:root:load data:0.4472334384918213	disk to mem:0.1575775146484375	normalize:0.12020468711853027	numpy to tensor:0.11626744270324707
INFO:root:load data:0.46794605255126953	disk to mem:0.1679210662841797	normalize:0.13142013549804688	numpy to tensor:0.11434388160705566
INFO:root:load data:0.44937872886657715	disk to mem:0.15666460990905762	normalize:0.12114644050598145	numpy to tensor:0.11813044548034668
INFO:root:load data:0.44612932205200195	disk to mem:0.15622401237487793	normalize:0.1208655834197998	numpy to tensor:0.11607885360717773
INFO:root:load data:0.4537830352783203	disk to mem:0.15891385078430176	normalize:0.12383675575256348	numpy to tensor:0.11768054962158203
INFO:root:load data:0.46477174758911133	disk to mem:0.1647799015045166	normalize:0.1310899257659912	numpy to tensor:0.11487221717834473
INFO:root:load data:0.4425945281982422	disk to mem:0.15233588218688965	normalize:0.11883258819580078	numpy to tensor:0.11767101287841797
