INFO:root:train trajgru begin...
INFO:root:total_num:6464821
INFO:root:torch.Size([15, 4, 1, 600, 600])
INFO:root:<class 'torch.Tensor'>
INFO:root:torch.Size([5, 4, 1, 600, 600])
INFO:root:torch.Size([10, 4, 1, 600, 600])
INFO:root:(4, 15)
INFO:root:load data:9.902901411056519	disk to mem:9.274806022644043	normalize:0.29848432540893555	numpy to tensor:0.20088887214660645
INFO:root:load data:9.098165035247803	disk to mem:8.45514178276062	normalize:0.29667186737060547	numpy to tensor:0.23163604736328125
INFO:root:load data:4.757551670074463	disk to mem:4.128729581832886	normalize:0.301098108291626	numpy to tensor:0.21152806282043457
INFO:root:load data:7.845222473144531	disk to mem:7.230546712875366	normalize:0.3161191940307617	numpy to tensor:0.19522953033447266
INFO:root:load data:6.75492787361145	disk to mem:6.10724949836731	normalize:0.2962503433227539	numpy to tensor:0.2357327938079834
INFO:root:load data:10.645593881607056	disk to mem:10.032957315444946	normalize:0.3007242679595947	numpy to tensor:0.2012770175933838
INFO:root:load data:8.076879978179932	disk to mem:7.479885101318359	normalize:0.2965118885040283	numpy to tensor:0.19064688682556152
INFO:root:load data:9.210451602935791	disk to mem:8.61910343170166	normalize:0.2869999408721924	numpy to tensor:0.2035226821899414
INFO:root:load data:7.406382322311401	disk to mem:6.803134202957153	normalize:0.29344940185546875	numpy to tensor:0.21146607398986816
INFO:root:load data:8.575533628463745	disk to mem:7.960408687591553	normalize:0.292949914932251	numpy to tensor:0.203460693359375
INFO:root:load data:5.797046661376953	disk to mem:5.199501037597656	normalize:0.2749464511871338	numpy to tensor:0.19497919082641602
INFO:root:load data:4.276044845581055	disk to mem:3.6854422092437744	normalize:0.27588772773742676	numpy to tensor:0.2030344009399414
INFO:root:load data:7.5875372886657715	disk to mem:6.952430963516235	normalize:0.3077433109283447	numpy to tensor:0.23019957542419434
INFO:root:load data:7.27321457862854	disk to mem:6.6072471141815186	normalize:0.305020809173584	numpy to tensor:0.22894573211669922
INFO:root:load data:10.87196135520935	disk to mem:10.210500478744507	normalize:0.32315564155578613	numpy to tensor:0.21083521842956543
INFO:root:load data:5.129148721694946	disk to mem:4.530778408050537	normalize:0.30457377433776855	numpy to tensor:0.19670653343200684
INFO:root:load data:5.239418268203735	disk to mem:4.613414764404297	normalize:0.3047201633453369	numpy to tensor:0.21818971633911133
INFO:root:load data:4.963108777999878	disk to mem:4.345577955245972	normalize:0.28830718994140625	numpy to tensor:0.21675586700439453
INFO:root:load data:6.751404047012329	disk to mem:6.129706621170044	normalize:0.3085367679595947	numpy to tensor:0.21164822578430176
INFO:root:load data:6.6870880126953125	disk to mem:6.097338914871216	normalize:0.2824060916900635	numpy to tensor:0.20969247817993164
INFO:root:load data:6.408939599990845	disk to mem:5.794422388076782	normalize:0.30448412895202637	numpy to tensor:0.20477676391601562
INFO:root:load data:10.879670143127441	disk to mem:10.230860710144043	normalize:0.31319355964660645	numpy to tensor:0.2174685001373291
INFO:root:load data:7.222862482070923	disk to mem:6.61192512512207	normalize:0.2922663688659668	numpy to tensor:0.2081162929534912
INFO:root:load data:9.825026512145996	disk to mem:9.178749084472656	normalize:0.3048062324523926	numpy to tensor:0.2093813419342041
INFO:root:load data:6.302400827407837	disk to mem:5.705667734146118	normalize:0.2851898670196533	numpy to tensor:0.20923304557800293
INFO:root:load data:10.680195808410645	disk to mem:9.959850788116455	normalize:0.3058643341064453	numpy to tensor:0.21752548217773438
INFO:root:load data:4.739679574966431	disk to mem:4.079966068267822	normalize:0.3102762699127197	numpy to tensor:0.22504806518554688
INFO:root:load data:7.223890542984009	disk to mem:6.576614618301392	normalize:0.29921793937683105	numpy to tensor:0.22432374954223633
INFO:root:load data:9.119476795196533	disk to mem:8.471895217895508	normalize:0.31484150886535645	numpy to tensor:0.21039605140686035
